Strain,Condition,Day,Raw,CFU/mL,tnt/cnt/no_growth,Replicate,Dilution
FSL R9-6232,M9,0,2.26E+05,6.78E+06,cnt,1,2
FSL R9-5272,M9,1,7.42E+06,2.23E+08,cnt,1,3
FSL R9-5400,M9,1,4.39E+06,1.32E+08,cnt,1,3
FSL R9-5502,M9,1,3.43E+06,1.03E+08,cnt,1,3
FSL R9-5344,M9,1,7.31E+06,2.19E+08,cnt,1,3
FSL R9-6232,M9,1,5.84E+06,1.75E+08,cnt,1,3
FSL R9-5272,M9,3,3.34E+06,1.00E+08,cnt,1,3
FSL R9-5400,M9,3,3.11E+06,9.33E+07,cnt,1,3
FSL R9-5502,M9,3,4.04E+06,1.21E+08,cnt,1,3
FSL R9-5344,M9,3,4.20E+06,1.26E+08,cnt,1,3
FSL R9-6232,M9,3,3.14E+06,9.42E+07,cnt,1,3
FSL R9-5272,M9,4,1.41E+07,4.23E+08,cnt,1,3
FSL R9-5400,M9,4,6.12E+06,1.84E+08,cnt,1,3
FSL R9-5502,M9,4,9.08E+06,2.72E+08,cnt,1,3
FSL R9-5344,M9,4,5.95E+06,1.79E+08,cnt,1,3
FSL R9-6232,M9,4,5.11E+06,1.53E+08,cnt,1,3
FSL R9-5272,M9,7,1.25E+07,3.75E+08,cnt,1,4
FSL R9-5400,M9,7,7.90E+06,2.37E+08,cnt,1,4
FSL R9-5502,M9,7,9.19E+06,2.76E+08,cnt,1,4
FSL R9-5344,M9,7,1.48E+07,4.44E+08,cnt,1,4
FSL R9-6232,M9,7,8.10E+06,2.43E+08,cnt,1,4
APC,M9,0,4.83E+04,1.45E+06,cnt,1,1
APC,M9,1,1.37E+05,4.11E+06,cnt,1,1
APC,M9,3,1.62E+05,4.86E+06,cnt,1,1
APC,M9,4,2.02E+05,6.06E+06,cnt,1,1
APC,M9,7,2.01E+04,6.03E+05,cnt,1,1
FSL R9-5272,M9,Inoculum,1.54E+09,4.62E+08,cnt,2,6
FSL R9-5400,M9,Inoculum,1.57E+09,4.71E+08,cnt,2,6
FSL R9-5502,M9,Inoculum,1.25E+09,3.75E+08,cnt,2,6
FSL R9-5344,M9,Inoculum,1.54E+09,4.62E+08,cnt,2,6
FSL R9-6232,M9,Inoculum,1.57E+09,4.71E+08,cnt,2,6
FSL R9-5272,M9,0,2.07E+05,6.21E+06,cnt,2,2
FSL R9-5400,M9,0,1.06E+06,3.18E+07,cnt,2,3
FSL R9-5502,M9,0,7.80E+05,2.34E+07,cnt,2,3
FSL R9-5344,M9,0,2.34E+06,7.02E+07,cnt,2,3
FSL R9-6232,M9,0,1.65E+06,4.95E+07,cnt,2,3
FSL R9-5272,M9,1,4.29E+06,1.29E+08,cnt,2,3
FSL R9-5400,M9,1,2.09E+06,6.27E+07,cnt,2,3
FSL R9-5502,M9,1,3.36E+06,1.01E+08,cnt,2,3
FSL R9-5344,M9,1,1.60E+06,4.80E+07,cnt,2,3
FSL R9-6232,M9,1,2.90E+06,8.70E+07,cnt,2,3
FSL R9-5272,M9,3,2.93E+06,8.79E+07,cnt,2,3
FSL R9-5400,M9,3,4.11E+06,1.23E+08,cnt,2,3
FSL R9-5502,M9,3,2.55E+06,7.65E+07,cnt,2,3
FSL R9-5344,M9,3,4.60E+06,1.38E+08,cnt,2,4
FSL R9-6232,M9,3,6.10E+06,1.83E+08,cnt,2,4
FSL R9-5272,M9,4,4.36E+06,1.31E+08,cnt,2,3
FSL R9-5400,M9,4,7.55E+06,2.27E+08,cnt,2,3
FSL R9-5502,M9,4,3.24E+06,9.72E+07,cnt,2,3
FSL R9-5344,M9,4,8.14E+06,2.44E+08,cnt,2,3
FSL R9-6232,M9,4,1.90E+06,5.70E+07,cnt,2,3
FSL R9-5272,M9,7,6.80E+06,2.04E+08,cnt,2,4
FSL R9-5400,M9,7,1.45E+06,4.35E+07,cnt,2,3
FSL R9-5502,M9,7,1.19E+06,3.57E+07,cnt,2,3
FSL R9-5344,M9,7,6.00E+06,1.80E+08,cnt,2,4
